onset	duration	nwb_table	cond
12.397778272684223	3.0	trials	1
16.397758426873903	3.0	trials	4
20.397771917565187	3.0	trials	7
24.39778540825647	3.0	trials	4
28.397765562446153	3.0	trials	2
32.397779053137434	3.0	trials	0
36.39775920732712	3.0	trials	8
40.3977726980184	3.0	trials	1
44.39778618870969	3.0	trials	0
48.39776634289937	3.0	trials	0
52.397779833590654	3.0	trials	9
56.39775998778033	3.0	trials	8
60.39777347847162	3.0	trials	4
64.39778696916291	3.0	trials	0
68.39776712335258	3.0	trials	2
72.39778061404387	3.0	trials	7
76.39776076823355	3.0	trials	5
80.39777425892484	3.0	trials	9
84.39778774961611	3.0	trials	0
88.3977679038058	3.0	trials	9
92.39778139449709	3.0	trials	5
96.39776154868677	3.0	trials	3
100.39777503937805	3.0	trials	3
104.39778853006933	3.0	trials	5
108.39776868425902	3.0	trials	2
112.3977821749503	3.0	trials	2
116.39776232913998	3.0	trials	4
120.39777581983127	3.0	trials	0
124.39778931052255	3.0	trials	3
128.39776946471224	3.0	trials	8
132.39778295540353	3.0	trials	0
136.3977631095932	3.0	trials	1
140.3977766002845	3.0	trials	8
144.39779009097578	3.0	trials	3
148.39777024516545	3.0	trials	3
152.39778373585673	3.0	trials	1
156.3977638900464	3.0	trials	9
160.3977773807377	3.0	trials	5
164.39779087142898	3.0	trials	3
168.39777102561865	3.0	trials	3
172.39778451630994	3.0	trials	8
176.39776467049964	3.0	trials	7
180.3977781611909	3.0	trials	8
184.3977916518822	3.0	trials	2
188.3977718060719	3.0	trials	3
192.39778529676317	3.0	trials	5
196.39776545095285	3.0	trials	5
200.39777894164413	3.0	trials	2
204.39779243233542	3.0	trials	4
208.3977725865251	3.0	trials	9
212.39778607721638	3.0	trials	4
216.39776623140605	3.0	trials	3
220.39777972209734	3.0	trials	2
224.39779321278863	3.0	trials	3
228.3977733669783	3.0	trials	8
232.3977868576696	3.0	trials	4
236.3977670118593	3.0	trials	4
240.39778050255055	3.0	trials	9
244.39779399324183	3.0	trials	0
248.39777414743153	3.0	trials	8
252.39778763812282	3.0	trials	6
256.3977677923125	3.0	trials	2
260.3977812830038	3.0	trials	5
264.39779477369507	3.0	trials	0
268.39777492788477	3.0	trials	1
272.397788418576	3.0	trials	5
276.3977685727657	3.0	trials	0
280.397782063457	3.0	trials	2
284.3977622176467	3.0	trials	5
288.397775708338	3.0	trials	0
292.39778919902926	3.0	trials	5
296.3977693532189	3.0	trials	7
300.3977828439102	3.0	trials	4
304.3977629980999	3.0	trials	9
308.3977764887912	3.0	trials	4
312.39778997948247	3.0	trials	4
316.3977701336721	3.0	trials	1
320.3977836243634	3.0	trials	7
324.3977637785531	3.0	trials	5
328.3977772692444	3.0	trials	9
332.3977907599357	3.0	trials	8
336.3977709141254	3.0	trials	4
340.39778440481666	3.0	trials	7
344.3977645590063	3.0	trials	1
348.3977780496976	3.0	trials	9
352.3977915403889	3.0	trials	0
356.3977716945786	3.0	trials	9
360.39778518526987	3.0	trials	5
364.3977653394595	3.0	trials	4
368.3977788301508	3.0	trials	2
372.3977923208421	3.0	trials	1
376.3977724750318	3.0	trials	3
380.3977859657231	3.0	trials	1
384.3977661199128	3.0	trials	6
388.39777961060406	3.0	trials	9
392.3977931012953	3.0	trials	9
396.397773255485	3.0	trials	0
400.3977867461763	3.0	trials	5
404.397766900366	3.0	trials	8
408.39778039105727	3.0	trials	2
412.39779388174856	3.0	trials	1
416.3977740359382	3.0	trials	8
420.3977875266295	3.0	trials	2
424.3977676808192	3.0	trials	7
428.3977811715105	3.0	trials	4
432.39779466220176	3.0	trials	3
436.39777481639146	3.0	trials	0
440.3977883070827	3.0	trials	8
444.3977684612724	3.0	trials	7
448.3977819519637	3.0	trials	8
452.39779544265497	3.0	trials	1
456.39777559684467	3.0	trials	1
460.39778908753595	3.0	trials	4
464.3977692417256	3.0	trials	0
468.3977827324169	3.0	trials	5
472.3977962231082	3.0	trials	2
476.3977763772979	3.0	trials	9
480.39778986798916	3.0	trials	8
484.3977700221788	3.0	trials	8
488.3977835128701	3.0	trials	1
492.3977970035614	3.0	trials	9
496.3977771577511	3.0	trials	4
500.39779064844237	3.0	trials	4
504.39777080263207	3.0	trials	3
508.39778429332335	3.0	trials	3
512.397764447513	3.0	trials	6
516.3977779382043	3.0	trials	6
