onset	duration	nwb_table	cond
11.941337222666942	3.0	trials	9
15.941351493814224	3.0	trials	0
19.9413324284534	3.0	trials	7
23.941346699600686	3.0	trials	8
27.94132763423986	3.0	trials	7
31.941341905387144	3.0000000000000036	trials	3
35.941322840026324	3.0	trials	2
39.9413371111736	3.0	trials	1
43.94135138232089	3.0	trials	3
47.941332316960064	3.0	trials	9
51.94134658810735	3.0	trials	9
55.941327522746526	3.0	trials	2
59.941341793893805	3.0	trials	6
63.94132272853298	3.0	trials	1
67.94133699968027	3.0	trials	3
71.94135127082755	3.0	trials	9
75.94133220546672	3.0	trials	1
79.94134647661402	3.0	trials	9
83.94132741125318	3.0	trials	2
87.94134168240048	3.0	trials	1
91.94132261703965	3.0	trials	6
95.94133688818692	3.0	trials	9
99.94135115933422	3.0	trials	2
103.94133209397339	3.0	trials	7
107.94134636512068	3.0	trials	8
111.94132729975985	3.0	trials	5
115.94134157090713	3.0	trials	0
119.94132250554631	3.0	trials	6
123.94133677669359	3.0	trials	9
127.94131771133277	3.0	trials	0
131.94133198248005	3.0	trials	0
135.94134625362733	3.0	trials	3
139.9413271882665	3.0	trials	1
143.9413414594138	3.0	trials	3
147.94132239405297	3.0	trials	7
151.94133666520025	3.0	trials	0
155.94131759983944	3.0	trials	1
159.94133187098672	3.0	trials	8
163.941346142134	3.0	trials	9
167.94132707677318	3.0	trials	2
171.94134134792046	3.0	trials	9
175.94132228255964	3.0	trials	1
179.94133655370692	3.0	trials	6
183.9413174883461	3.0	trials	6
187.94133175949338	3.0	trials	9
191.94134603064066	3.0	trials	3
195.94132696527984	3.0	trials	2
199.94134123642712	3.0	trials	6
203.9413221710663	3.0	trials	6
207.94133644221358	3.0	trials	1
211.94131737685277	3.0	trials	0
215.94133164800004	3.0	trials	4
219.94134591914732	3.0	trials	8
223.9413268537865	3.0	trials	4
227.94134112493379	3.0	trials	6
231.94132205957297	3.0	trials	8
235.94133633072025	3.0	trials	2
239.94131726535943	3.0	trials	8
243.9413315365067	3.0	trials	4
247.941345807654	3.0	trials	4
251.94132674229317	3.0	trials	0
255.94134101344045	3.0000000000000284	trials	5
259.94132194807963	3.0	trials	7
263.9413362192269	3.0	trials	8
267.94131715386607	3.0	trials	0
271.94133142501335	3.0	trials	9
275.9413456961606	3.0	trials	2
279.94132663079984	3.0	trials	0
283.9413409019471	3.0	trials	7
287.94132183658627	3.0	trials	3
291.94133610773355	3.0	trials	3
295.94131704237276	3.0	trials	6
299.94133131352004	3.0	trials	9
303.9413122481592	3.0	trials	4
307.9413265193065	3.0	trials	1
311.94134079045375	3.0	trials	0
315.94132172509296	3.0	trials	1
319.94133599624024	3.0	trials	6
323.9413169308794	3.0	trials	4
327.9413312020267	3.0	trials	0
331.9413121366659	3.0	trials	5
335.94132640781316	3.0	trials	9
339.94134067896044	3.0	trials	6
343.9413216135996	3.0	trials	8
347.9413358847469	3.0	trials	6
351.9413168193861	3.0	trials	5
355.94133109053337	3.0	trials	6
359.9413120251725	3.0	trials	7
363.9413262963198	3.0	trials	0
367.9413405674671	3.0	trials	5
371.9413215021063	3.0	trials	0
375.94133577325357	3.0	trials	9
379.9413167078927	3.0	trials	2
383.94133097904	3.0	trials	1
387.9413119136792	3.0	trials	3
391.9413261848265	3.0	trials	5
395.9413404559738	3.0	trials	7
399.9413213906129	3.0	trials	0
403.9413356617602	3.0	trials	9
407.9413165963994	3.0	trials	4
411.9413308675467	3.0	trials	7
415.94131180218585	3.0	trials	8
419.94132607333313	3.0	trials	6
423.9413403444804	3.0	trials	8
427.9413212791196	3.0	trials	4
431.9413355502669	3.0	trials	9
435.94131648490605	3.0	trials	3
439.94133075605333	3.0	trials	2
443.94131169069254	3.0	trials	3
447.9413259618398	3.0	trials	8
451.9413402329871	3.0	trials	4
455.94132116762626	3.0	trials	8
459.94133543877354	3.0	trials	4
463.94131637341275	3.0	trials	9
467.94133064456	3.0	trials	0
471.9413115791992	3.0	trials	4
475.94132585034646	3.0	trials	2
479.94134012149374	3.0	trials	6
483.94132105613295	3.0	trials	7
487.9413353272802	3.0	trials	4
491.9413162619194	3.0	trials	0
495.94133053306666	3.0	trials	1
499.9413114677059	3.0	trials	4
503.94132573885315	3.0	trials	5
507.9413066734923	3.0	trials	5
511.9413209446396	2.999999999999943	trials	1
515.9413352157869	3.0	trials	1
519.941316150426	3.0	trials	1
523.9413304215733	3.0	trials	7
527.9413113562125	3.0	trials	3
531.9413256273598	3.0	trials	0
535.941306561999	3.0	trials	6
